# Magnto-optical constants for Co L edge: delta beta
# energy (eV)   delta_beta * 1e-3
773.4017295738049  0.0019666195585852364
773.534469297383  0.0018981970206584098
773.6672090209612  0.0018297744827315832
773.7999487445393  0.0017613519448047565
773.9326884681174  0.0016929294068777079
774.0654281916954  0.0016245068689508813
774.1981679152735  0.0015560843310240546
774.3309076388517  0.001487661793097228
774.4636473624298  0.0014192392551704014
774.5963870860079  0.0013508167172435748
774.729126809586  0.0012823941793167482
774.8618665331641  0.0012139716413896995
774.9946062567423  0.0011455491034628729
775.1273459803203  0.0010771265655360462
775.2600857038984  0.0010087040276092196
775.3928254274765  0.0004242615161507146
775.5255651510547  -0.002224260889434948
775.6583048746328  -0.0022926834273617747
775.7910445982109  -0.005457225806479116
775.923784321789  -0.005525648344405942
776.056524045367  -0.005594070882332769
776.1892637689452  -0.005662493420259596
776.3220034925233  -0.005730915958186422
776.4547432161014  -0.005799338496113249
776.5874829396795  -0.005867761034040075
776.7202226632576  -0.007484243492562381
776.8529623868358  -0.0106487858716795
776.9857021104139  -0.012265268330201584
777.1184418339919  -0.01233369086812841
777.25118155757  -0.012402113406055237
777.3839212811482  -0.012470535943982064
777.5166610047263  -0.01357099842897247
777.6494007283044  -0.01570350086102623
777.7821404518825  -0.01577192339895328
777.9148801754606  -0.016356365910411563
778.0476198990388  -0.019004888315997226
778.1803596226168  -0.019073310853924053
778.3130993461949  -0.019657753365382558
778.445839069773  -0.024886375638627056
778.5785787933511  -0.02547081815008534
778.7113185169293  -0.028635360529202902
778.8440582405074  -0.0323159228818517
778.9767979640854  -0.04064066499628649
779.1095376876635  -0.04793336716365726
779.2422774112417  -0.05987024909281424
779.3750171348198  -0.07645131078375655
779.5077568583979  -0.09974063213061157
779.640496581976  -0.13077025308044266
779.7474258037472  -0.17434305567050434
779.8380259325387  -0.21277181384670363
779.8949143855007  -0.24721229831218827
779.9612842472898  -0.28254227577072233
779.9944691781843  -0.3187839835471318
780.0276541090789  -0.3544064673553031
780.0763253410574  -0.3934426656182086
780.1050856144993  -0.42720519677040136
780.1382705453939  -0.46716224835623943
780.1648184901095  -0.5099023866722525
780.1869417773726  -0.550782572332287
780.2223390369934  -0.5885734804049239
780.248886981709  -0.6402481359769434
780.2673230544282  -0.690975030791473
780.3057754346711  -0.7433340203499641
780.3263184871296  -0.7921453556205493
780.3595034180241  -0.8511177432310315
780.4037499925502  -0.9082897628123134
780.4184988507254  -0.955255182907915
780.4479965670762  -0.9955199458518187
780.4627454252515  -1.0362931262650397
780.4922431416022  -1.0760418692354115
780.5364897161282  -1.1286987140482905
780.5696746470228  -1.1782537371418187
780.5807362906543  -1.2135552052095495
780.6139212215488  -1.2541314807636257
780.6471061524434  -1.299484626929824
780.673654097159  -1.3485939260620003
780.7061015851447  -1.3914403093744057
780.7429737305831  -1.4409972330939869
780.7835330905652  -1.4859118776778366
780.7982819487406  -1.5313292378528434
780.835154094179  -1.5723718320091515
780.8683390250735  -1.6180567053011916
780.8948869697891  -1.6657506353631095
780.9347088868626  -1.707878391964677
780.9789554613886  -1.751866101222223
781.0358439143506  -1.792410364803197
781.1211765937937  -1.8296077888147206
781.2570767869809  -1.8323316574674282
781.351364130316  -1.7983966580767785
781.4066723484736  -1.754047449743852
781.468828250784  -1.7099229225622532
781.509914355701  -1.658120952196448
781.5541609302271  -1.6307947011119086
781.5812005035485  -1.5898710544694505
781.6205307920161  -1.5286569576215887
781.6559280516369  -1.4791372861726562
781.6900611234141  -1.4340399914250626
781.7311472283312  -1.3750690292841206
781.7785542724663  -1.316433052485112
781.8048915192079  -1.270225982184866
781.847294486462  -1.2183878320445423
781.8815855817197  -1.168403172431615
781.915507955523  -1.1278614882717133
781.9486928864176  -1.0767926165265533
781.9855650318559  -1.0342399749707207
782.0224371772943  -0.9922033533884196
782.0666837518203  -0.9452683433096738
782.1072431118025  -0.904730080276668
782.1514896863285  -0.864149487586271
782.1994234753984  -0.8214919721999847
782.2494642442076  -0.7783932400512732
782.2842294099066  -0.7332962711252893
782.3505992716957  -0.6905008245911184
782.4169691334847  -0.6485310100145989
782.4738575864468  -0.6068954069536907
782.5591902658899  -0.5631514122598082
782.628720597288  -0.5211684833635191
782.7156335115355  -0.4838939821775752
782.8078138751314  -0.4428749082686789
782.9085977393296  -0.40336532741004283
783.0237792984133  -0.36125849579626457
783.1312352651194  -0.32637196154781845
783.268715693111  -0.2869304412030982
783.401455416689  -0.2555216453555895
783.5341951402671  -0.22617692940220735
783.6669348638453  -0.19941231331648424
783.7996745874234  -0.17471177712488783
783.9324143110015  -0.15104328088035457
784.0651540345796  -0.128922844556417
784.1978937581578  -0.11093056802073309
784.3306334817358  -0.09139023156445414
784.4633732053139  -0.07546203492289738
784.596112928892  -0.06056587822840398
784.7288526524701  -0.04979788132216445
784.8615923760483  -0.03954590438945638
784.9943320996264  -0.03290606727147094
785.1270718232045  -0.03194244986233419
785.2598115467825  -0.03304291234732459
